Player,Goals,Country
Miroslav Klose,16,Germany
Ronaldo,15,Brazil
Gerd Muller,14,Germany
Just Fontaine,13,France
Pele,12,Brazil
Jurgen Klinsmann,11,Germany
Sandor Kocsis,11,Hungary
